"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 09:12:13 IST 2022","Fri Nov 18 09:12:13 IST 2022","45","","Sign In and Purchase Product: TC-002 Login to the account","","Sign In and Purchase Product: TC-002 Login to the account","Given I am on the home page","Given I am on the home page",""
"passed","Fri Nov 18 09:13:01 IST 2022","Fri Nov 18 09:13:05 IST 2022","3538","","Sign In and Purchase Product: TC-004 Add address details and checkout the product","","Sign In and Purchase Product: TC-004 Add address details and checkout the product","Then Verify the product and place order","Then Verify the product and place order",""
"passed","Fri Nov 18 09:11:57 IST 2022","Fri Nov 18 09:11:57 IST 2022","1","","Create account in E-commerce site: TC-001 Create New user","","Create account in E-commerce site: TC-001 Create New user","","",""
"passed","Fri Nov 18 09:12:24 IST 2022","Fri Nov 18 09:12:33 IST 2022","8761","","Sign In and Purchase Product: TC-002 Login to the account","","Sign In and Purchase Product: TC-002 Login to the account","Then Verify User is on home page","Then Verify User is on home page",""
"passed","Fri Nov 18 09:12:47 IST 2022","Fri Nov 18 09:13:01 IST 2022","14117","","Sign In and Purchase Product: TC-004 Add address details and checkout the product","","Sign In and Purchase Product: TC-004 Add address details and checkout the product","When I provide the shipping address","When I provide the shipping address",""
"passed","Fri Nov 18 09:12:42 IST 2022","Fri Nov 18 09:12:42 IST 2022","1","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","","",""
"passed","Fri Nov 18 09:11:38 IST 2022","Fri Nov 18 09:11:38 IST 2022","60","","Create account in E-commerce site: TC-001 Create New user","","Create account in E-commerce site: TC-001 Create New user","Given I am on the home page","Given I am on the home page",""
"passed","Fri Nov 18 09:11:38 IST 2022","Fri Nov 18 09:11:49 IST 2022","11149","","Create account in E-commerce site: TC-001 Create New user","","Create account in E-commerce site: TC-001 Create New user","When I click on create an account","When I click on create an account",""
"passed","Fri Nov 18 09:11:49 IST 2022","Fri Nov 18 09:11:54 IST 2022","5390","","Create account in E-commerce site: TC-001 Create New user","","Create account in E-commerce site: TC-001 Create New user","Then I provide information ""dummy"" ""id"" ""dummyid202@gmail.com"" ""Pass@000"" and ""Pass@000""","Then I provide information ""dummy"" ""id"" ""dummyid202@gmail.com"" ""Pass@000"" and ""Pass@000""",""
"passed","Fri Nov 18 09:12:41 IST 2022","Fri Nov 18 09:12:41 IST 2022","393","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","Then I select the size and color","Then I select the size and color",""
"passed","Fri Nov 18 09:12:33 IST 2022","Fri Nov 18 09:12:33 IST 2022","1","","Sign In and Purchase Product: TC-002 Login to the account","","Sign In and Purchase Product: TC-002 Login to the account","","",""
"passed","Fri Nov 18 09:12:41 IST 2022","Fri Nov 18 09:12:42 IST 2022","184","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","Then I click on add to cart","Then I click on add to cart",""
"passed","Fri Nov 18 09:12:33 IST 2022","Fri Nov 18 09:12:36 IST 2022","2991","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","Given I am select the category","Given I am select the category",""
"passed","Fri Nov 18 09:12:13 IST 2022","Fri Nov 18 09:12:24 IST 2022","11296","","Sign In and Purchase Product: TC-002 Login to the account","","Sign In and Purchase Product: TC-002 Login to the account","When I provide ""dummyid202@gmail.com"" and ""Pass@000""","When I provide ""dummyid202@gmail.com"" and ""Pass@000""",""
"passed","Fri Nov 18 09:13:05 IST 2022","Fri Nov 18 09:13:05 IST 2022","0","","Sign In and Purchase Product: TC-004 Add address details and checkout the product","","Sign In and Purchase Product: TC-004 Add address details and checkout the product","","",""
"passed","Fri Nov 18 09:12:36 IST 2022","Fri Nov 18 09:12:41 IST 2022","5206","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","","Sign In and Purchase Product: TC-003 Select product and Add to Cart","When I am choose the one product","When I am choose the one product",""
"passed","Fri Nov 18 09:11:54 IST 2022","Fri Nov 18 09:11:57 IST 2022","2837","","Create account in E-commerce site: TC-001 Create New user","","Create account in E-commerce site: TC-001 Create New user","Then Verify User in home page","Then Verify User in home page",""
"passed","Fri Nov 18 09:12:42 IST 2022","Fri Nov 18 09:12:47 IST 2022","5539","","Sign In and Purchase Product: TC-004 Add address details and checkout the product","","Sign In and Purchase Product: TC-004 Add address details and checkout the product","Given I am going to cart","Given I am going to cart",""
